Name,stars,Title,Reviews
Randy W. Dietmeyer,5.0 out of 5 stars,First lens where I actually noticed a significant difference!,Without a doubt the sharpest lens I now own for my 7D Mark II. Putting this on actually made me feel like I upgraded the camera body itself! I just wish it had a wider zoom range and I am still swapping it for my 24-105 L.UpdateThere was a slight flaw on my copy which appeared like a slightly darker curved band on the left side of the photo. It is only visible in something like a bright sky shot and after adjusting the contrast. But it is in every such photo. Other than that the edge to edge detail was phenomenal. Hopefully my new one will be just as sharp minus the lens flaw. Here is a photo showing the slight dark curved band on the left.UpdateI did end up returning it and got a new copy of the lens in today. After a couple of test shots it is clear (pun intended) that this one does not have the slight dark band aberration that my first lens had.
FastK5,4.0 out of 5 stars,Amazingly sharp but very frustrating!,"The sigma 18-35mm is both sharp and frustrating to use. The autofocus is not reliable. But after making adjustments with the USB dock I could get it working well except when shooting objects at infinity with the focal length set to 35mm. I use the Pentax k3 which has a fine adjustment for autofocus. I have managed to more or less get it working at all focal lengths except 35mm (when the object is very far away).This lens is unbelievably sharp for a zoom lens. I have 35mm 2.4, 40mm 2.8, and 50mm 1.4 prime lenses, and it is as sharp or sharper than all these primes. It is amazing in low light too, and sharp at f-1.8. If only the autofocus was more reliable! Live view is always sharp, and that is why it is so frustrating.l will keep adjusting the autofocus to see if I can get it working at all focal lengths. I will update this review in due time."
Lokiparts,5.0 out of 5 stars,It's a Game Changer,"I love, love, love this lens. I am far from being a professional photographer, or videographer, but I would easily consider myself an advanced amateur. For a long time I have been making due with an old 50mm lens as my only real fast lens along with a hand full of slow entry-level zooms and pancake primes. I had been dying to get a fast wide prime, but I was having a hard time picking the perfect focal length. So when I found this lens and started researching it, it almost sounded too good to be true.Well let me tell you on a crop sensor camera, the hype is real. It is so sharp and just takes absolutely lovely images. I’ll admit it’s not perfect, it is fairly large and heavy, and can be a little slow to focus at times, but these small flaws are easily overlooked when it comes to the eye popping image quality this lens produces. Even wide open the images are super crisp. I also recently had the chance to use it for a video project, and it may just be my new favorite video lens too. Overall I just cannot recommend this lens enough. I am fully team Sigma at this point, and I am already saving up to get the 50-100mm F1.8 next."
BS!,4.0 out of 5 stars,Good Lens But Slow AF,"This is indeed a sharp lens. It is bulky (much larger than one would think). The colors are neutral and the images are hard to fault. Very good for indoor and outdoor shooting. Construction is sturdy even though it has lots of plastic parts. I didn't notice any bothersome distortions. For Sony cameras, it's actually a very good choice because it doesn't have any major color casts and is even on the less saturated side, so it minimizes various color casts inherent in Sony rendering when white balance isn't calibrated to a strict 6500K daylight setting.Its one major flaw is focus speed. For photography, it's pretty slow when shifting larger distances. But, the focus speed works out well for video. It's very quiet and moves smoothly. I think this lens was optimized for video. But then again, such a large lens for APSc sensors might not be good for moving about. It'll work fine on larger setups though."
DJ,4.0 out of 5 stars,Great but heavy,"Unheard of 1.8 zoom. Using with Sony a6600 which has IBIS. Would be nice if the lens had IS too. Len's AF not as fast as a6600's AF so it's a compromise in keeping up.I usually stop down to 2.8 anyways to keep faces in focus, so perhaps the extra stops to 1.8 are wasted.Downside is the weight to this lens. It's large for a 1.8 lens and it's dated (I think it was released in 2013). Would be nice if Sigma released an update with IS and Sony e-mount compatibility so we don't have to use the MC-11 adapter."
William Elliott,5.0 out of 5 stars,"The best lens for crop sensor DSLR, period.","I own two of these actually. One Nikon mount (review here) and another Canon mount (bought elsewhere). I attach these to my Lumix GH4 and GH5 cameras using Metabones Speed Boosters for video capture. They are nothing less than spectacular. I shoot in a lot of small doctors offices and cramped areas. I also use these for shooting interviews and find they have little to no distortion. They are a little on the big and heavy side, but the quality that they produce is stunning."
Luis L.,5.0 out of 5 stars,Bringing almost full-frame quality to APS-C photography,"One of the greatests lenses you can get, it is heavy to carry around, but the results are outstanding. Remember as with any new lens you get, there's a learning curve, so don't rush it in, this one has so many possibilities, and did I mention that it is fast? Having been handling lenses of all sorts for the past 3+ decades, I can assure that this one brings a lot excitement, and incredible pictures! Highly recommend for APS-C sensor formats."
Michael,5.0 out of 5 stars,Excellent,"I've been using this lens with my Nikon D7100 for over three years and I use it 95% of the time as I shoot mostly landscapes and it works well for portraits too at 30-35mm. This lens brings my Nikon crop sensor camera pretty close to full-frame quality. The only problem I have with using a non-Nikon lens is there's no in-camera auto correction for lens distortion, so I would have to buy Adobe Lightroom to correct for the distortion. I find Nikon's View NX2 software is excellent at post processing my RAW images so I really don't want to buy Lightroom just to fix the lens distortion. And if I do buy Lightroom I'll have to redo all my old RAW files that I've already processed with View NX2. But if you already have Lightroom then there's no reason not to get this lens as it's as good as it gets at a price that's a relative bargain."
DJ Savage,5.0 out of 5 stars,My favorite lens above all,"This lens is amazing and probably the best lens you will ever have, but it is only for cinematography. It is a Super clear lens Great for cinema but this is not a lens made for photography. The only thing I did not like about this lens is that it is a bit heavy but maybe that is the reason it is such a great lens, so I can live with that. You will have to add pull focus/zoom gears to this lens, not a deal breaker. If you’re serious about filming, this is your lens."
Kamelle Jaye,5.0 out of 5 stars,Sharp Fast Heavy,"This is my second favourite lens to use overall and my favourite lens to use for landscapes. I own a Canon 80D and I love how sharp my photos look. I'm not too technical when it comes to lens specs but as a casual photographer I usually have this and my 24-70 in my bag. I tried using it for portraits and I kept it at the 35mm focal length. (For me 18mm is a bit too wide for APS-C. I think its a 28mm Full Frame equivalent).The only downsides to this lens are its weight. It is a brick. There also is no image stabilization. Those 2 things dont affect me that much. I only notice the weight of the lens when I go on long hikes, but maybe I just need to get stronger.I love this lens and you won't be disappointed if you purchase this."
Joshua,5.0 out of 5 stars,El mejor lente que hay,"Desde hace mas de veinte años me dedico a la fotografía. He aprendido que en vez de invertir en cámaras hay que invertir en lentes. Pero los mejores lentes son muy costosos. Decidí vender tres de mis lentes. Nikon 35 mm 1.8 G; Nikon 50 mm 1.8 D y mi sigma 18-50 2.8. Y coloqué la diferencia. No me arrepiento. La calidad de lente es superior(algo pesado), trabaja en cualquier condición de luz y mi Nikon D7500 trabaja superbien. Cuando lo compré temí algún defecto de micro ajuste de enfoque. Pero este lente no tuvo ningún problema. De forma preventiva compré el dock. Repito la calidad de las imágenes es superior y disfruto aun mas haciendo mis trabajos de fotografía."
DDuck4Life,5.0 out of 5 stars,Nothing better on the market for what it does,"Fantastic lens. super sharp and has the potential to be my walk around lens. Great for anyone looking to shoot in low light situations and don't want to worry about have the correct prime lens for the situation. If you can find it in stock.the lens is able to focus very fast and with the HSM you can't hear a thing. while you can still hear the motor if everything is completely silent, if there is any background noise going on you won't hear a thing.Amazing for shooting video. the super quiet focusing motor means you won't hear the lens moving to gain focus while filming. Who wants to hear the focus motor running instead of the people in the shot while filming a scene, no worries with this lens.Fantastic for those low light shots where you still need a fast shutter.keep in mind this is not a small light lens. On the end of your camera this will add some size and weight if you are not used to shooting with lens of this size. It has replaced every prime in my kit between these focal lengths.There is a reason this lens is sold out everywhere. don't hesitate to buy this lens if it becomes available to you or just put your name on the waiting list."
Tony,5.0 out of 5 stars,Must have.,"You won’t regret buying this. Great for on the go. I like the weight of it. Feels like quality in your hand bc it is. Image quality speaks for itself. Being apsc, the long end (35) feels like 50 on FF which is perfect and the short end (18) is great for getting that wider shot of you might need in most situations. Having f1.8 all the way through is fantastic.This was the second copy I ordered, bc the focus ring on the first one was a bit weird. This second one is perfect though. Zoom and focus ring are insanely smooth. Love. This. Lens."
Charles Le Pere,5.0 out of 5 stars,Awesome companion lens to BMPCC6K,"I bought this primarily for video work with my BMPCC6K. It is a spectacularly sharp lens. The build quality is superb. I also have the Canon 17-55mm F/2.8 EF-S (not full frame lens). I definitely like the wider aperture of the sigma more and the fact that the sigma does not telescope through its zoom range, unlike the canon. But canon’s zoom range is greater and it has optical image stabilization, which I am miss greatly on the sigma. So I end up using the sigma for shoots with people using a tripod or stabilizer and the canon for landscape work typically.Again, I love this lens. I would definitely recommend it for video work! And if you’re deliberating between this or the canon, get this one if your primary subjects are people. Otherwise stick to the canon."
clovisthecat,5.0 out of 5 stars,Best zoom lens for aps-c,"I use this on my a6500 coupled with mc-11. sony when used with its native lenses produces a very digital-looking images. But when I put this sigma on, wow, im very surpised it produces images with full of life - similar on what i see with my 5dm4.Image quality is astonishing. Bokeh is great.Cons of using with mc-11 on sony- it keeps hunting for the right focus point and around 70% accurate at Night. Daytime has much better performance. For video work the lens is very noisy so i have a separate audio recording device.I can only wish that its zoom length is much further, has less weight, has snappier focus and has IS. but for its current price, im happy with it and this definitely a keeper"
Doug Davis,5.0 out of 5 stars,Extremely Sharp even at 1.2! (1.2 with metabones adapter on the GH4),"I recently got my Panasonic GH4 and was told this was the go to lens for most shooters with this camera. I did my research and found out this lens becomes a 1.2 with the metabones adapter.. I had to try it out. I purchased this used right here from amazon for a few hundred dollars cheaper and I couldn't tell that the lens wasn't brand new.. It came with not a single mark on it and worked as If nobody ever used it. I'm assuming someone returned it once they found out it was a cropped sensor and wouldn't work properly on a Full Frame Camera. Luckily for me, the GH4 isn't full framed and it worked and looks amazing.The lens is verrrrry sharp even wide open at 1.2 I was shocked! It doesn't have IS but that doesn't effect me because I use a glidecam or tripod, you'll only see a little shake while your filming hand held. It's also around 2 pounds in weight for those wondering.I purchased this for many reasons after countless hours of doing my research. Besides other people praising it.. This is also why I purchased:- Very sharp lens. I read that it is basically a few primes built into one lens. I'd have to agree as it looks great no matter what.- I could go to 1.2 with an adapter and that could help a ton in low light situations.- It has much more DOF compared to the panasonic 12-35 lens and can go to 1.2 instead of 2.8.- I needed help with the low light issue and the Panasonic 12-35 isn't good for low light while this can help me make up for ISO.- Panasonics 12-35 mark II is apparently coming out with the GH5 so I'll wait to see if it's worth the buy later.- Sigma Art lenses have always been worth the money. I've never met someone who has something bad to say about them.I shot an interview this morning for a local gym and had this on my GH4 the entire time. I'll Post a screenshot of the video (ungraded) for you to see."
doesitmatter,1.0 out of 5 stars,Abe's of Maine aka Abe's Electronic Center not Authorized Dealer.,"Read about Abe's online, bait and switch, underhanded sales techniques, etc. Called Nikon and asked about them, they verified Abe's is not an authorized Nikon dealer because of these tactics. They are also not on Sigma's list of authorized dealers and Sigma states on their website they will not honor the warranty if purchased from non-authorized seller. Sent back immediately without using."
Riducharme12,5.0 out of 5 stars,Should Be Your First Lens,"As someone who is just beginning to really get into film, I heard a lot of talk about this lens. I thought maybe, like most things on the internet including reviews, that it might be overhyped. I splurged though and was not disappointed. This lens is fantastic. It does everything you want and gives your film that medium/close up shot that really pops. No need to worry about if your kit glass (the lenses that most people buy with the camera) have enough depth of field to really convey what the subject is, this lens clearly emphasis it + so much bokeh! A great overall lens for film. Would recommend to anyone who wants to start to make their shots look cinematic and beautiful."
Lee O.,5.0 out of 5 stars,Automatic buy! . . . trust me!,"Before purchasing this lens, I decided to rent it for a couple of days and see how well it performed. I used it to take photos for a local late night talk show and it left me very impressed.As many reviews on the internet and youtube might tell you, this lens is super sharp. I never thought I would want to take photos at the widest aperture of f/1.8 but I was so enthralled at how sharp it was wide open. It was matched up to my Canon 70D and it performed well past my expectations. Previously I was stuck with using my Canon 17-55mm f/2.8, which is still a very good lens, but this Sigma trumps any photo I've taken when it comes to clarity, contrast, and sharpness.The only true gripes I might have about this lens, is the short focal range and the speed of the auto focus. My Canon 70D has an APS-C crop sensor, making the 18-35mm range more in lines with 28-56mm (1.6x crop factor). That's still a good focal range for landscape and portrait photography, but too short to use at something like a concert or for sports. The autofocus is super smooth and very quite, but the focus is a little slow compared to my Canon 17-55mm f/2.8. Not that big of a gripe, but when you're trying to capture a moment, every millisecond counts. Also, it doesn't have image stabilization like my Canon, so videography would be a little bit more difficult unless you had a glide or camera stabilizer of some sort.All in all, I made the purchase and I couldn't be happier. Sigma made a believer out of me and I'll continue to purchase from them as long as the quality and performance is there. If you have a crop sensor camera, don't hesitate. Buy this lens pronto!"
Andrew,5.0 out of 5 stars,Focus is off sometimes,Great lens. Only issue I have is the focus on it. Usually when I'm zoomed alllll the way out it may not focus the best. I took some pictures and couldn't tell on my camera that I was out of focus even though my focus point was where it should've been. This can be a big deal if you're getting paid for your photography or videography.
David F.,5.0 out of 5 stars,Best auto-focus lens I've ever had!,"There are a boatload of reviews about this lens on youTube so, if you want something detailed, go there. This lens is AWESOME! It takes zero effort to shoot good photos with this thing, even on a D3200!!!!! I can't wait until the 50mm-100mm is released so I can buy that and complete my lens collection!Update 4/1/2016 - I wanted to update this comment with some actual photos of the lens. I have yet to gain skills to properly review it from a technical point of view but would rather let these quick photos speak for themselves. Just a few I snapped, one of which while driving without even looking at the camera!"
Tommy D,5.0 out of 5 stars,Awesome,"This lens turned out to be heavier than I thought it would be, but definitely not problematic. I like the solid feel it has on the Nikon D500, and even on an older D7100. One of the reasons I went with all Sigma lenses was because of problems with auto-focus. Sigma gives me the option (with the USB dock) of adjusting any back or front focusing issues. I prefer this over trying to go through the incomplete effort of changing the focus issues in the camera."
Nick S.,5.0 out of 5 stars,Beauty and the beast! All in one.,"Yes, it's big but if you want it for it can do there's no way around it that I know of.I did not want the f/1.8 just for its light gathering capability (although it doesn't hurt to have it) but more for the narrow depth of field it allows. For ""environmental"" portraits (i.e. not just a head shot but also including a good deal of the background for context) with that ""full frame"" look I don't think that there's a more versatile lens for APS-C cameras. Add in the fact that it's just about as sharp (if not sharper) than similar prime lenses and you've got a winner.Update: I forgot to mention that the build of the lens is great. I have some other EX DG Sigma lenses which were well built but this is a notch above those. The materials look like high quality, both the focus and zoom rings move smoothly and without any wobble."
Ike,2.0 out of 5 stars,Autofocus  nightmare.,This is the sharpest POS I've ever seen would be a great lens has very high ratings I cant figure out why. The lens itself is great glass and great quality the auto focus is so bad ... you have to buy the docking station update if available. Mine is already up to date I have to program and change the auto focus at every focal length. NOT EASY. Lens made me want to pull my kit lens out of the closet.
Benjamin Anderson,5.0 out of 5 stars,Best Investment Ever,"I never write reviews. Today I am. Received mine today and this is the only lens I will ever need again. I was hoping to get my money's worth and I did. Right out of the box, everything I'm shooting looks amazing. The bouquet is stunning. Focusing issues that I've read about? I bought the dock and haven't fine-tuned anything yet and am not sure if I'll need to - I have no complaints. I bought this lens for video after seeing some excellent cinematic-quality footage and I was able to recreate that look within hours. Unbelievable quality. Save yourself some money - this lens is at least 3 primes in one. Amazing in low light too."
ThatCarGuyEddie,5.0 out of 5 stars,Perfect Glass. Fell in love.,"I purchased this lens used from 6ave for $629 shipped. It was said to be in ""like new"" condition, and it was. I was very pleased with the condition it came in. Now for the photography side of this review. The low light capabilities of this lens is amazing. Additionally this lens is great for almost anything else, unless you need to shoot a far distance shot (which I never do). I'll include some of my most recent shots with this lens. Finally I would definitely recommend this to all my friends."
TRJ,5.0 out of 5 stars,"Sharp as a tack. These feel heavy and sturdy, but they're not. Read review","The actual barrel that the mount base (stainless steel) mounts to is an engineering plastic. So even though it feels and looks all-metal, it's not. And an important piece is breakable plastic inside. The lens will separate from the mount if any hit is taken by the lens and that in-turn tears the flex cables, making a repair an expensive proposition. All in all though, it goes head to head with L-glass for sharpness, bokeh and light gathering. Wish it were a bit more of a range as 18-35 is pretty damn limiting at times."
A. Tolman,5.0 out of 5 stars,solid lens,"This is a large, serious piece of glass. It takes sharp, colorful pictures and, in all the venues I've used it, focuses briskly and reliably. There are times when I wish for a bit more zoom range, but the speed of the lens and the quality of the pictures means that they're croppable without loss of quality. Works very well on my D7100."
Kara Heinrich,3.0 out of 5 stars,Did not fit e-mount,"I was so excited when I saw they added Sony to the compatibility lineup for this lens. Did 3-4 days of research on this lens before biting the bullet and purchasing it. I did not find a clear answer as to whether or not it was for e-mount or a-mount, but after reading multiple articles and watching reviews on YouTubers being excited for the e-mount launch I decided to purchase. When I received the lens it was heavy and beautiful, I immediately went to try on the lens only to discover that it was too big for for the emount. I called sigma and they let me know that anything that just says Sony is an a-mount lens. I did not want to purchase an a-mount converter on top of the lens, so I ended up returning. Disappointed because I was so excited to try out this lens."
Richard,5.0 out of 5 stars,amazing lens but it’s an APS-C,only reason i give it 4 stars is because my sony a6000 with an adapter over shoots the focus a lot and i have to sit and wait for it to adjust multiple times. other than that. one of the best lenses i’ll own. sigma is one of the best retailers for glass. image quality is sharp and crisp per usual from Sigma’s Art series.only downfall is it’s built for aps-c which means it’ll vignette like crazy on a full frame if and when i upgrade to a full frame.
Nate in Florida,5.0 out of 5 stars,Just about perfect,"love this lens, absolutely love it. I have been wanting to get away from the standard low end kit lenses ever since I started photography about 15 years ago, now all I want to do is throw those old lenses away after getting my hands on this. The focus is lightning fast, the auto focus when shooting video is flawless and nobody is going to say anything bad about the f/1.8 at EVERY focal length. I'm taking pictures now that would have been impossible for me before."
Michelet Díez Posada,5.0 out of 5 stars,Finally bought the best APSC lens for video!,"I mainly bought this lens for video for my 80D, works perfectly, it is HEAVY know that, is not a ""walk around take pictures with"" lens.The sharpness is just another level, the focus speed is just right and gotta say is not as loud as many people has said.This lens DOES NOT have image stabilization, so have that in mind, you need a gimbal or have very steady hands."
Julia,5.0 out of 5 stars,Want to improve your video for YouTube? THIS IS IT!!❤️,"I LOOOVE this lens so much! Been wanting this for so long and finally my hubby gifted it to me for Christmas😀 I have a beauty YouTube channel, and I’ve been wanting to get that blurred background as others YouTube’s have, and I got it! Highly recommend this lens if you want to improve your video quality, trust me, your viewers will appreciate that 🔥🔥 This lens is pretty heavy, like HEAVYY:) Took me sometime to get used to that, as well as I had to use a more sturdy stand holder for my Canon M50, but that’s okay☺️ Thanks Sigma for creating such beauty ❤️❤️"
Working Man,5.0 out of 5 stars,Get this lens!,"Words can not express how happy I am to own this amazing lens! It has a very usable range and it goes to F1.8!The lens if very sharp wide open, very little to almost not noticeable CA and vignette. The build quality is very solid, the lens has some weight to it, not to mention it's solid focus along with comfortably dampened zoom and focus rings.I bought this for my Canon 650D which pushes this camera to it's limits! I look forward to more shots with this amazing lens!"
ColoCultureMedia,5.0 out of 5 stars,"If you are thinking about it, just buy it.",If you are making Youtube videos or any videos. Buy this. There is tons of evidence that this is a great lens on Youtube. I use this with a 70D to make YT videos and with a Lumix G85. Yea it is heavy but no matter what you are shooting it is going to be crisp. The only other lens I use is a 10-18 when needing a super wide angle. This is a bokeh monster. I've even used it to vlog. Willzworldmedia on youtube for more visuals in 4k.
Amazon Customer,5.0 out of 5 stars,Simply Amazing!!,"I film short instagram videos and longer YouTube videos. Before i got this lens i was using a 50mm 1.8 stm gor canon. Which was great but i needed alot of space to film which I don’t have so i have to do the filming in a friends house. This lens got delivered from korea in 2 friggn days!! Super sharp, quick AF, not as heavy as exaggerated on YouTube reviews, everything is perfect ❤️❤️👏🏾👏🏾. Best lens for videographers!!"
Tamora,5.0 out of 5 stars,Highly recommended!,"I rented this first to test it out and was blown away by the photos I was getting on my Canon 70D then purchased it immediately. Forget carry a bunch of lenses around. This is basically a bunch of primes in one. I ended up selling my 2 kit lenses, 40mm STM and 50mm f1.8 as this lens replaced them all. Just add good zoom lens to your arsenal and you have everything you need to take awesome photos!"
D. Liu,5.0 out of 5 stars,I love this lens,"I love this lens. I use it for all my vacation travels and don't even use my walk around lens anymore. It's super clear and the contrast is good. It's so fast that it's great for low light.This is basically permanently affixed to my canon 60d when i go anywhere. Indoors low light, it helps capture a small room, outdoor and sunny and it's great for capturing landscapes or buildings.I'm debating on buying a canon 5m mirrorless when it comes out and an adapter, instead of moving to another brand because this lens, I really don't want to give it up."
